# File: region.txt

# This file holds templates for wilderness regions.

# The complete Middle-Earth map is currently 588 miles high by 882 miles wide. 
# y and x coordinates are for the top left of the region as shown in the D:
# lines (so in particular, that does include spaces).
# Each grid represents 1 square mile.
# Each square mile contains 10x10 portions of wilderness of 22x22 game grids.
# 3 of these 22x22 portions side by side makes up a world_chunk.

# N:region index:region name
# I:difficulty:height:width:y:x
# D:Map of the region using the following legend:
# + Forest
# - Lake
# ~ Ocean
# . Plain
# , Moor/Waste
# ^ Mountain
# _ Swamp
# | Dark Forest
# X Impassable Mountain
# W Impassable Water (Ocean)
# / Desert
# * Snow
# = Town
# & Landmark

N:1:Helcaraxë
I:2:24:48:0:0
D:************************************************
D:***********************************************
D:**********************************************
D:*********************************************
D:********************************************
D:*******************************************
D:******************************************
D:****************************************
D:**************************************
D:************************************
D:**********************************
D:********************************
D:******************************
D:****************************
D:***************************
D:**************************
D:*************************
D:************************
D:***********************
D:**********************
D:*********************
D:**************   ****
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                               ^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^
D:                                              ^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                              ^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                              ^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                              ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^
D:                                              ^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^
D:                                             ^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^
D:                                             ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^
D:                                             ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^
D:                                             ^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^
D:                                             ^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^
D:                                             ^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^
D:                                            ^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^
D:                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^
D:                                            ,,,                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^

N:3:Losgar
I:2:23:70:107:91
D:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^
D:   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^
D:    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^
D:     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^
D:      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^
D:         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^
D:             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^
D:                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^
D:                       ,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                ,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                       ,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                             ,,,,,,,^^^^^^^^^^^^^^^^^
D:                                                 ,,,,^^^^^^^^^^^^^^^^^
D:                                                   ,,,,^^^^^^^^^^^^^^^
D:                                                    ,,,,^^^^^^^^^^^^
D:                                                    ,,,,^^^^^^^^^^
D:                                                    ,,,,^^^^^^^^
D:                                                  ,,,,^^^^^^^^
D:                                               ,,,,^^^^^^^^^
D:                                                ^^^^^^^^^^^
D:                                                 ^^^^^^^^
D:                                                  ^^^^^
D:                                                   ^^

N:4:Nevrast
I:2:70:174:126:42
D:                                                                                ,,^^^^^^^^^^^^^^^
D:                                                                               ^^^^^^^^^^^^^^^^^^^
D:                                                                             ^^^^^^^^^^^^^^^^^^^^^^
D:                                                                            ^^^^^^^^^^^^^^^^^^^^^^^^
D:                                                                           ^^^^^^^^^^^,,^^^^^^^^^^^^^^
D:                                                                          ^^^^^^^^^^,,,,,^^^^^^^^^^^^^^
D:                                                                       ^^^^^^^^^^^,,,,,,,,,,^^^^^^^^^^^^
D:                                                                    ^^^^^^^,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^
D:                                                                   ^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^
D:                                                                  ^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^
D:                                                                 ^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^
D:                                                                ^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^
D:                                                               ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^
D:                                                             ^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^
D:                                                            ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^
D:                                                           ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^
D:                                                           ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^
D:                                                          ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^
D:                                                        ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^
D:                                                       ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                                     ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                                    ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^
D:                                                   ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^
D:                                                  ^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^
D:                                                ^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^
D:                                              ^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                            ^^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                           ^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^^^^^^^^^^^^^^^^^
D:                                         ^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..................^^^^^^^^^^^^^^^^^
D:                                        ^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...................^^^^^^^^^^^^^^^^^^
D:                                       ^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.....................^^^^^^^^^^^^^^^^^^
D:                                      ^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.....................^^^^^^^^^^^^^^^^^^^^
D:                                      ^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......................^^^^^^^^^^^^^^^^^^^^^
D:                                     ^^^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,........................^^^^^^^^^^^^^^^^^^^^^
D:                                     ^^^^^^^^^^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,................--.........^^^^^^^^^^^^^^^^^^^^
D:                                     ^^^^^^^^,,,,,,,,,,,...................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__________________----__.........^^^^^^^^^^^^^^^^^^^
D:                                    ^^^^^^^^,,,,,,,,,,,,....................,,,,,,,,,,,,,,,,,,,,,,,,,,,,,__________________----______...........^^^^^^^^^^^^^^^^^^
D:                                    ^^^^^^^,,,,,,,,,,,,,.....................,,,,,,,,,,,,,,,,,,,,,,,,,____________________----_______..............^^^^^^^^^^^^^^^^
D:                                    ^^^^^^^,,,,,,,,,,,,,.....................,,,,,,,,,,,,,,,,,,,,,,,,____________________------______................^^^^^^^^^^^^^^^
D:                                   ^^^^^^^,,,,,,,,,,,,,,.....................,,,,,,,,,,,,,,,,,,,,,,______________________------______..............^^^^^^^^^^^^^^^^^^
D:                                  ^^^^^^^^,,,,,,,,,,,,,,.......................,,,,,,,,,,,,,,,,,,,______________________-------______..............^^^^^^^^^^^^^^^^^^^
D:                                 ^^^^^^^,,,,,,,,,,,,,,,,........................,,,,,,,,---,,,,,,,_____________________--------______...............+^^^^^^^^^^^^^^^^^^
D:                               ^^^^^^^,,,,........................................----------------------------------------------------------........++++^^^^^^^^^^^^^^^^
D:                               ^^^^^^,,,,,........................................----------------------------------------------------------.......+++++++^^^^^^^^^^^^^^^
D:                              ^^^^^^,,,,,,..........................................---------------------------------------------------___............++++++^^^^^^^^^^^^^^
D:                              ^^^^^,,,,,,,...........................................-------------------------------------------------___..............++++^^^^^^^^^^^^^^^^
D:                             ^^^^^^,,,,,,,............................................-----------------------------------------------____.............++++^^^^^^^^^^^^^^^^^^
D:                            ^^^^^^,,,,,,,,.............................................---------------------------------------------______.........+++++++^^^^^^^^^^^^^^^^^^^
D:                          ^^^^^^,,,,,,,,,,..............................................-----------------------------------------_______.........+++++++^^^^^^^^^^^^^^^^^^^^^^
D:                        ^^^^^^^..........................................................______-------------------------------_________........++^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                       ^^^^^^^............................................................_________-----------------------___________.........^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                       ^^^^^..............................................................___________________________________________.......^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                       ^^^^^............................................................_____________________________________________.......^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                      ^^^^^^.............................................................____________________________________________......^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                     ^^^^..................................................................__________________________________________....^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                    ^^^^.......................................................................______________________________________...^^^^^^^^^^^^^^^^^^^^^^^^^
D:                   ^^^............................................................................_______++++++___+++++^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                  ^^^..................................................................................++++++++++++++++^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                  ^^^.................................................................................+++++++++++++++++++^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                 ^^^^..................................................................................++++++++++++++++^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                 ^^^^...................................................................................+++++++++++++^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:                ^^^^.....................................................................................++++++++++++++^^^^^^^^^^^^^^^^^^^^^^^^
D:              ^^^^^^^^...................................................................................++++++++++^^^^^^^^^^^^^^^^^^^^^^^^^
D:         ^^^^^^^^^^^^^^^^^^^^^^^..^^^^^^^^.....................................................^^^^^^^^^^^^^^+++^^^^^^^^^^^^^^^^^^^^^^^^^^
D:       ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^......................................^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^.........................^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
D:  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

N:5:Hithlum
I:2:112:217:0:84
D:^^^^^^^^^^^^^^^^^^^^^*********************************************************************************************************************************************************
D: ^^^^^^^^^^^^^^^^^^^^*********************************************************************************************************************************************************
D:  ^^^^^^^^^^^^^^^^^^^*********************************************************************************************************************************************************
